Detector Z,Ray Number,Ray X,Ray Y,Ray Z,Ray X (pixels),Ray Y (pixels),Dist from 121.01,Dist from 121.01 (highest Y)
121.01,563,0.023734,-0.00237,121.01,560,1019,-0.5,
121.01,627,0.021278,0.010335,121.01,555,1045,-0.5,
121.01,1474,0.023227,0.006148,121.01,559,1036,-0.5,
121.01,2489,0.021997,0.009001,121.01,557,1042,-0.5,
121.01,2811,0.023885,0.001504,121.01,560,1027,-0.5,
121.01,3204,0.021235,0.010514,121.01,555,1045,-0.5,
121.01,3437,0.02394,-0.00189,121.01,561,1020,-0.5,
121.01,3866,0.023603,-0.00407,121.01,560,1015,-0.5,
121.01,3928,0.024115,0.000714,121.01,561,1025,-0.5,
121.01,4390,0.022215,-0.0081,121.01,557,1007,-0.5,
121.01,4520,0.02203,0.00865,121.01,557,1041,-0.5,
121.01,4594,0.02408,0.001088,121.01,561,1026,-0.5,
121.01,5026,0.022373,0.008007,121.01,557,1040,-0.5,
121.01,5229,0.021901,0.010208,121.01,556,1044,-0.5,
121.01,5646,0.023411,-0.00598,121.01,559,1011,-0.5,
121.01,6169,0.023959,0.0007,121.01,561,1025,-0.5,
121.01,6179,0.022424,0.007518,121.01,557,1039,-0.5,
121.01,6340,0.023637,-0.00167,121.01,560,1020,-0.5,
121.01,6542,0.023733,-0.00425,121.01,560,1015,-0.5,
121.01,6743,0.022998,0.006166,121.01,559,1036,-0.5,
121.01,7161,0.023121,0.005835,121.01,559,1035,-0.5,
121.01,7540,0.022833,0.008034,121.01,558,1040,-0.5,
121.01,7613,0.024109,-0.00079,121.01,561,1022,-0.5,
121.01,8779,0.023911,0.003361,121.01,560,1030,-0.5,
121.01,9641,0.024124,-0.00191,121.01,561,1020,-0.5,
121.01,10277,0.022097,-0.01006,121.01,557,1003,-0.5,
121.01,10314,0.022111,-0.00943,121.01,557,1004,-0.5,
121.01,10396,0.023754,0.002735,121.01,560,1029,-0.5,
121.01,11138,0.023138,-0.00675,121.01,559,1010,-0.5,
121.01,11368,0.021417,-0.01054,121.01,555,1002,-0.5,
121.01,12683,0.024192,0.001707,121.01,561,1027,-0.5,
121.01,13236,0.021661,0.009588,121.01,556,1043,-0.5,
121.01,13621,0.021542,0.010131,121.01,556,1044,-0.5,
121.01,13678,0.023649,-0.00409,121.01,560,1015,-0.5,
121.01,13927,0.022638,0.007957,121.01,558,1040,-0.5,
121.01,14158,0.024004,-7.82E-05,121.01,561,1023,-0.5,
121.01,14192,0.021302,0.011145,121.01,555,1046,-0.5,
121.01,14377,0.021556,0.010472,121.01,556,1045,-0.5,
121.01,14584,0.022967,-0.00741,121.01,559,1008,-0.5,
121.01,14594,0.022523,0.007802,121.01,558,1039,-0.5,
121.01,14854,0.022827,-0.0074,121.01,558,1008,-0.5,
121.01,15122,0.022462,-0.00802,121.01,558,1007,-0.5,
121.01,15174,0.023825,0.002481,121.01,560,1029,-0.5,
121.01,15685,0.023943,-0.00042,121.01,561,1023,-0.5,
121.01,16019,0.023382,-0.00496,121.01,559,1013,-0.5,
121.01,16077,0.023929,0.002101,121.01,561,1028,-0.5,
121.01,16490,0.021324,0.010309,121.01,555,1045,-0.5,
121.01,16532,0.023495,0.00266,121.01,560,1029,-0.5,
121.01,16682,0.023712,0.004545,121.01,560,1033,-0.5,
121.01,16805,0.023916,0.003662,121.01,560,1031,-0.5,
121.01,17080,0.024277,-0.00011,121.01,561,1023,-0.5,
121.01,18416,0.023719,-4.84E-05,121.01,560,1023,-0.5,
121.01,19057,0.021451,0.010097,121.01,555,1044,-0.5,
121.01,19079,0.023439,0.005309,121.01,560,1034,-0.5,
121.01,19333,0.023806,0.002669,121.01,560,1029,-0.5,
121.01,19814,0.022578,-0.00779,121.01,558,1008,-0.5,
121.01,20083,0.023862,-0.00294,121.01,560,1017,-0.5,
121.01,20179,0.021681,0.00985,121.01,556,1044,-0.5,
121.01,20226,0.021684,0.009518,121.01,556,1043,-0.5,
121.01,20537,0.021592,0.010987,121.01,556,1046,-0.5,
121.01,20551,0.022794,0.007699,121.01,558,1039,-0.5,
121.01,20644,0.023673,0.000869,121.01,560,1025,-0.5,
121.01,21559,0.023565,-0.00309,121.01,560,1017,-0.5,
121.01,21629,0.02325,0.004373,121.01,559,1032,-0.5,
121.01,21673,0.02282,0.006888,121.01,558,1038,-0.5,
121.01,22505,0.023967,-0.00213,121.01,561,1019,-0.5,
121.01,22604,0.022687,-0.0072,121.01,558,1009,-0.5,
